Title,Rating,Genre,Cast
No Way Up,56.98,"['Action', 'Horror', 'Thriller']","['Sophie McIntosh', 'Will Attenborough', 'Jeremias Amoore', 'Manuel Pacific', 'Grace Nettle', 'Phyllis Logan', 'Colm Meaney', 'James Carroll Jordan', 'David J Biscoe', 'David Samartin', 'Scott Coker', 'Lee Byford']"
Land of Bad,70.73,"['Action', 'Thriller', 'War']","['Liam Hemsworth', 'Russell Crowe', 'Luke Hemsworth', 'Ricky Whittle', 'Milo Ventimiglia', 'Chika Ikogwe', 'Daniel MacPherson', 'Robert Rabiah', 'Jack Finsterer', 'Chris Masters Mah', 'Lincoln Lewis', 'Lachlan Engeler', 'Miguel Usares', 'Timothy Latimer', 'Michael Joaquin', 'Joey Vieira', 'Gunner Wright', 'Eric Zivic', 'Manix Butterfield', 'Jaylen Hill-Suadnyana', 'Anna Loren', 'Macca Adamson', 'Matt Seutin', 'Rhonda Hargrave', 'George Burgess', 'William Eubank', 'Jeanda St James', 'Charles Allen', 'Francisco Sagad', 'Patricia Violan']"
Anyone But You,69.00,"['Comedy', 'Romance']","['Sydney Sweeney', 'Glen Powell', 'Alexandra Shipp', 'Michelle Hurd', 'Bryan Brown', 'Darren Barnet', 'Hadley Robinson', 'Dermot Mulroney', 'Rachel Griffiths', 'GaTa', 'Mia Artemis', 'Nat Buchanan', 'Josh Bonello', 'Deborah Faye Lee', 'Lance Kerfuffle', 'Taryn Gluck', 'Alexandra Gluck', 'Summer Tian', 'Dan Liu', 'Davina Chan Gallagher', 'Charlee Fraser', 'Joe Davidson', 'Mariama Whitton', 'Ryan Panizza', 'Talayna Moana Nikora', 'Beau Karolos', 'Ben Heber']"
Migration,76.25,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']","['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal', 'Awkwafina', 'Carol Kane', 'Keegan-Michael Key', 'Danny DeVito', 'David Mitchell', 'Isabela Merced', 'Carlos Alazraqui', 'Brock Baker', 'Gregg Berger', 'Steve Blum', 'Kimberly Brooks', 'Rodger Bumpass', 'Corey Burton', 'Sean Chiplock', 'Amber Lee Connors', 'Ian James Corlett', 'David Cowgill', 'Robin Atkin Downes', 'David Errigo Jr.', 'Bill Farmer', 'Dave Fennoy', 'Keith Ferguson', 'Erin Fitzgerald', 'Grant George', 'David Kaye', 'Danny Mann', 'Zeno Robinson', 'Tara Sands', 'Veronica Taylor', 'Matthew Wood']"
Skal - Fight for Survival,53.55,"['Action', 'Horror', 'Comedy', 'Thriller']","['Evan Marsh', 'Chris Sandiford', 'Mariah Inger', 'Darren Eisenhauer', 'Olivia Scriven', 'Trevor Hayes']"
Lights Out,69.00,"['Action', 'Thriller']","['Frank Grillo', 'Mekhi Phifer', 'Scott Adkins', 'Dermot Mulroney', 'Jaime King', 'Kevin Gage', 'Amaury Nolasco', 'Jessica Medina', 'JuJu Chan', 'Erica Peeples', 'Donald Cerrone', 'Paul Sloan', 'Mary Christina Brown', 'Justin Furstenfeld', 'Jailyn Rae', 'Robert Laenen', 'Anthony C Garcia', 'Pino Martinez', 'Ibrahim Shahoot', 'Moudi Gameel', 'Bryan McGowan', 'Tyler Wombles', 'Del Eswar']"
Dune: Part Two,84.79,"['Science Fiction', 'Adventure']","['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Javier Bardem', 'Molly Mcowan', 'Rex Adams', 'Ana Cilas', 'Rand Faris', 'Laura Mizere', 'Cecile Sinclair', 'Tracy Coogan', 'Anton Saunders', 'Tony Cook', 'Alan Mehdizadeh', 'Souheila Yacoub', 'Sebastian Faure', 'Fouad Humaidan', 'Tim Hilborne', 'Italo Amerighi', 'Anya Taylor-Joy', 'Babs Olusanmokun', 'Roger Yuan', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison', 'Tara Breathnach', 'Akiko Hitomi', 'Imola Gáspár', 'Alison Adnet', 'Hamza Baissa', 'Hassan Najib', 'Jasper Ryan-Carter', 'Omar Elbooz', 'Abdelkarim Hussein Seli Mohamed', 'Hassanin', 'Joseph Beddelem', 'Xavier Alba Royo', 'Rachid Abbad', 'Affif Ben Badra', 'Botond Bóta', 'Abdelaziz Boumane', 'Abdellah Echahbi', 'Zouhair Elakkari', 'Noureddine Hajoujou', 'Mohamed Mouraoui', 'Adil Achraf Sayd', 'Hamza Sayd', 'Hopi Grace', 'Havin Fathi', 'Kincsö Pethö', 'Cat Simmons', 'Burt Caesar', 'Remi Fadare', 'Amer El-Erwadi', 'Tedroy Newell', 'Oxa Hazel', 'Hajiyeva Pakiza', 'Leon Herbert', 'Sima Rostami', 'Yvonne Campbell', 'Joseph Charles', 'Vic Zander', 'Dylan Baldwin', 'Marcia Tucker', 'Nicola Brome', 'Kathy Owen', 'Huw Novelli', 'Moe Bar-El', 'Serhat Metin', 'Amra Mallassi', 'Adam Bloom', 'Luis Alkmim', 'Jordan Long', 'Omar A.K.', 'Zdeněk Dvořáček', 'Billy Clements', 'Lex Daniel', 'Dominic McHale', 'Paul Boyle', 'Niall White', 'Gábor Szemán', 'Jonathan Gunning', 'Will Irvine', 'Kajsa Mohammar', 'Sara Bacsfalvi', 'Kocsis Zsofia', 'Matthew Sim', 'Steve Wall', 'Zoe Kata Kaska', 'Jimmy Walker', 'Manaf Irani', 'Dora Kápolnai-Schvab', 'Joelle']"
Poor Things,81.01,"['Science Fiction', 'Romance', 'Comedy']","['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef', 'Jerrod Carmichael', 'Christopher Abbott', 'Margaret Qualley', 'Suzy Bemba', 'Kathryn Hunter', 'Hanna Schygulla', 'Vicki Pepperdine', 'Jack Barton', 'Charlie Hiscock', 'Attila Dobai', 'Emma Hindle', 'Anders Grundberg', 'Attila Kecskeméthy', 'Jucimar Barbosa', 'Carminho', 'Angela Paula Stander', 'Gustavo Gomes', 'Kate Handford', 'Owen Good', 'Zen Joshua Poisson', 'Vivienne Soan', 'Jerskin Fendrix', 'István Göz', 'Bruna Asdorian', 'Tamás Szabó Sipos', 'Tom Stourton', 'Mascuud Dahir', 'Miles Jovian', 'Jeremy Wheeler', 'János Geréb', 'Patrick de Valette', 'Raphaël Thiéry', 'Boris Gillot', 'Dorina Kovács', 'Yorgos Stefanakos', 'Hubert Benhamdine', 'Gábor Patay', 'Laurent Winkler', 'Andrew Hefler', 'Damien Bonnard', 'Noah Breton', 'Donovan Fouassier', 'Roderick Hill', 'Wayne Brett', 'John Locke', 'Keeley Forsyth', 'David Bromley']"
Wonka,72.00,"['Comedy', 'Family', 'Fantasy']","['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Hugh Grant', 'Paterson Joseph', 'Olivia Colman', 'Tom Davis', 'Jim Carter', 'Rowan Atkinson', 'Matt Lucas', 'Mathew Baynton', 'Natasha Rothwell', 'Rakhee Thakrar', 'Rich Fulcher', 'Kobna Holdbrook-Smith', 'Simon Farnaby', 'Ellie White', 'Sally Hawkins', ""Colin O'Brien"", 'Freya Parker', 'Murray McArthur', 'Charlotte Ritchie', 'Phil Wang', 'Rufus Jones', 'Isy Suttie', 'Ian Bartholomew', 'Sophie Winkleman', 'Justin Edwards', 'Michael Abubakar', 'Tim Fitzhigham', 'Jane Bertish', 'Tracy Ifeachor', 'Dominic Coleman', 'Muzz Khan', 'Ben Howard', 'Alison Pargeter', 'Bleu Woodward', 'Paul G. Raymond', 'Lola Shepelev', 'Marina Bye', 'Robyn Rose', ""Millie O'Donnell"", 'Susie Fairfax', 'Macie Blake', 'Ellie Blake', 'Matilda Tucker', 'Bertie Caplan', 'Gustave Die', 'Luan Gallagher']"
Miller's Girl,65.70,"['Drama', 'Thriller']","['Martin Freeman', 'Jenna Ortega', 'Bashir Salahuddin', 'Gideon Adlon', 'Dagmara Domińczyk', 'Christine Adams', 'Augustine Hargrave', 'Elyssa Samsel']"
